"Binned_top","Binned_bottom","Binned_stage","mean_d13C","stdev_d13C","d13C_N","mean_d18O","stdev_d18O","d18O_N","data_subset"
"1",0.011,2.59,"Pleistocene-Recent",1.19784566487097,0.896171380326212,31,0.267233563625,1.71440945636033,40,"All"
"2",2.59,5.33,"Zanclean-Placenzian",1.98310344827586,0.502771628420725,29,-0.890384615384615,1.07651467530817,26,"All"
"3",5.33,7.25,"Messinian",1.98923076923077,0.685023862582678,13,-0.486842105263158,1.02396976640112,38,"All"
"4",7.25,11.61,"Tortonian",1.83533333333333,0.309628041058176,15,-0.423076923076923,1.08135916874176,39,"All"
"5",11.61,13.65,"Serravallian",2.0537037037037,0.440001270565474,54,-0.207073170731707,0.844421765492065,82,"All"
"6",13.65,15.97,"Langian",2.41363636363636,0.359212703330167,22,-0.58921052631579,0.944930661202607,38,"All"
"7",15.97,20.43,"Burdigalian",2.61538461538462,0.242920267598767,13,-0.444528301886792,0.862432976298261,53,"All"
"8",20.43,23.03,"Aquitanian",2.21090909090909,0.915469741982141,22,-0.465588235294118,0.818961615915084,34,"All"
"9",23.03,28.4,"Chattian",1.07761904761905,0.750523933739096,63,0.216197183098592,1.06088287517949,71,"All"
"10",28.4,33.9,"Rupelian",1.11155115511551,0.396609684172975,303,-1.65628834355828,1.53682871163636,326,"All"
"11",33.9,37.2,"Priabonian",1.05322834645669,0.569953885477635,127,-1.78992647058824,1.65589653296536,136,"All"
"12",37.2,40.4,"Bartonian",1.82859649122807,0.824961987428363,57,-0.545081967213115,1.26270031143686,61,"All"
"13",40.4,48.6,"Lutetian",1.77314285714286,1.13254287368734,140,-1.1514,1.25179067980245,150,"All"
"14",48.6,55.8,"Ypresian",1.98558823529412,0.742025039095903,34,-1.13854166666667,0.838631077013804,48,"All"
"15",55.8,61.7,"Selandian-Thanetian",3.05833333333333,1.13116252222454,90,-0.897894736842105,0.514897004236774,95,"All"
"16",61.7,65.5,"Danian",1.82846153846154,0.554761866700424,39,-0.671463414634146,0.337354123849181,41,"All"
"17",65.5,72.1,"Maastrichtian",2.16476821192053,0.841171335221776,302,-0.818415841584158,0.968948429118526,303,"All"
"18",72.1,83.6,"Campanian",2.33722891566265,0.626351403327905,249,-1.41702380952381,1.08702831114541,252,"All"
"19",83.5,85.8,"Santonian",2.16565217391304,0.649865902859663,23,-3.04583333333333,1.20461762530207,24,"All"
"20",85.8,88.6,"Coniacian?",1.57406779661017,0.439232503289011,118,-3.90923728813559,0.599852056945413,118,"All"
"21",88.6,93.6,"Turonian?",1.34588235294118,0.50582959151141,459,-4.22697826086956,0.65251733051987,460,"All"
"22",93.6,99.6,"Cenomanian",2.51783333333333,1.01876810233128,60,-2.14,0.906522504324883,60,"All"
"23",99.6,112,"Albian",1.88425196850394,0.909331273287919,127,-1.77149606299213,1.04241864570857,127,"All"
"24",112,125,"Aptian",3.33380952380952,1.60828006326783,21,-0.699130434782609,1.224169154397,23,"All"
"25",125,130,"Barremian",1.16410625,0.959247127456225,160,-0.50434375,0.610551715103674,160,"All"
"26",130,133.9,"Hauterivian?",0.790895883779661,0.760479013008487,59,0.18704285715,0.458184171379214,60,"All"
"27",133.9,140.2,"Valanginian?",0.355874015748032,1.03269497765388,254,-0.0455256916996047,0.525951613302716,253,"All"
"28",140.2,145.5,"Berriasian",-0.0541206896551724,1.20406672131946,58,-0.734155172413793,0.934747377482076,58,"All"
"29",145.5,150.8,"Tithonian",0.394701923076923,0.820688260527187,104,-1.36962857142857,0.549832513959109,105,"All"
"30",150.8,155.6,"Kimmeridgian?",0.574622641509434,1.60223314382452,53,-1.23149152542373,0.80212709399879,59,"All"
"31",155.6,161.2,"Oxfordian?",1.2994,1.2589776666873,70,-0.828694444444444,1.17570491457929,72,"All"
"32",161.2,164.7,"Callovian",2.01319801980198,1.53511350733294,101,-0.363852941176471,0.725237078301806,102,"All"
"33",164.7,167.7,"Bathonian",1.74359183673469,1.20192774571189,98,-0.239060606060606,1.2136507736458,99,"All"
"34",167.7,171.6,"Bajocian",0.817931034482759,1.05073534588408,58,-0.220338983050847,1.31251005395387,59,"All"
"35",171.6,175.7,"Aalenian?",0.634,0.713523339180685,10,-0.543,0.735255813381378,10,"All"
"36",175.7,183,"Toarcian?",2.14359813084112,1.56712189386507,214,-2.48047169811321,1.07018347372852,212,"All"
"37",183,189.6,"Pliensbachian",1.62921787709497,0.917916823551847,179,-1.19560606060606,0.92480167723269,330,"All"
"38",189.6,196.5,"Sinemurian",1.06840579710145,1.29025832250345,69,-1.1885046728972,0.614218023700327,107,"All"
"39",196.5,199.6,"Hettangian",1.43333333333333,1.28652691971506,12,-2.0875,0.972374086263288,12,"All"
"40",199.6,216.5,"Norian-Rhaetian",1.67536585365854,0.57520038926002,41,-1.77951219512195,0.588336431047374,41,"All"
"41",216.5,228.7,"Carnian",3.48,NA,1,-2,NA,1,"All"
"42",228.7,237,"Ladinian",3.03538461538462,0.68350815709084,39,-2.52974358974359,1.05741115635133,39,"All"
"43",237,245.9,"Anisian",0.741794871794872,0.643051409072285,39,-4.01923076923077,1.63297820370181,39,"All"
"44",245.9,251,"Induan-Olenekian?",0.583333333333333,0.361155552820849,3,-6.4,2.01285866369201,3,"All"
"45",251,260.4,"Wuchiapingian-Changhsingian",3.70166666666667,1.01210972327808,30,-2.80333333333333,0.791769442814455,30,"All"
"46",260.4,268,"Wordian/Kazanian-Capitanian",4.67973684210526,1.30460201416475,38,-2.26105263157895,1.86598396545019,38,"All"
"47",270.6,275.6,"Kungurian?",4.99794642857143,1.22959829256071,112,-1.23727272727273,1.50349373499725,110,"All"
"48",284.4,294.6,"Sakmarian",4.46261194029851,1.22928485176287,134,-2.17820895522388,1.03607766041713,134,"All"
"49",294.6,299,"Asselian?",4.76582677165354,0.871900351945126,127,-2.22165354330709,0.866372444361232,127,"All"
"50",299,303.4,"Gzhelian?",4.29184210526316,1.0787247188678,114,-2.2090350877193,0.979673929227227,114,"All"
"51",303.4,307.2,"Kasimovian?",4.02423868312757,1.11797356101076,486,-2.42711934156379,0.807890427241997,486,"All"
"52",307.2,311.7,"Moscovian?",5.0834,1.33803363186431,150,-3.15235294117647,0.757584253353244,153,"All"
"53",311.7,318.1,"Bashkirian",4.89266129032258,1.14638428329834,124,-2.47274193548387,1.77968771295008,124,"All"
"54",318.1,328.3,"Serpukhovian?",3.05748148148148,1.86008705156074,405,-2.43948402948403,1.45818295023976,407,"All"
"55",328.3,345.3,"Viséan?",2.63814207650273,1.50105327094834,366,-4.02369863013699,2.38172270442947,365,"All"
"56",345.3,359.2,"Tournaisian?",2.77743315508021,1.75419400343592,187,-3.69379679144385,2.07091378235989,187,"All"
"57",359.2,374.5,"Famennian",0.938765432098765,1.10942145138361,81,-6.05296296296296,1.30821007911998,81,"All"
"58",374.5,385.3,"Frasnian",0.734123456790123,1.1784210927548,405,-5.39355555555556,1.30502539712019,405,"All"
"59",385.3,391.8,"Givetian",1.90279569892473,0.807637948361438,93,-3.5141935483871,1.23227636879409,93,"All"
"60",391.8,397.5,"Eifelian",0.625251141552511,0.78614044192928,219,-5.03867579908676,1.67486425025939,219,"All"
"61",397.5,407,"Emsian",0.209857142857143,0.920262238707923,70,-4.22642857142857,1.91055499616597,70,"All"
"62",407,411.2,"Pragian",1.59794117647059,0.410075967919653,34,-4.25558823529412,0.98693953385897,34,"All"
"63",411.2,416,"Lochkovian",1.71703703703704,1.00739502150087,27,-6.79185185185185,1.78830180948948,27,"All"
"64",416,418.7,"Pridoli",2.405,0.983830382851751,28,-4.07607142857143,0.779502877127298,28,"All"
"65",418.7,422.9,"Gorstian-Ludfordian",0.371333333333333,1.56172922138236,30,-5.50560975609756,1.01199320348629,41,"All"
"66",422.9,428.2,"Sheinwoodian/Tonawandan-Homerian/Lockportian",2.32005167958656,2.522203884018,387,-4.8249354005168,1.18720889356338,387,"All"
"67",428.2,436,"Telychian/Ontarian",1.69405701754386,1.88176278971125,456,-4.72899122807018,0.675561363583531,456,"All"
"68",436,439,"Aeronian?",1.1756,0.667420906674841,25,-4.898,0.542878132426299,25,"All"
"69",439,443.7,"Rhuddanian?",1.1242,1.09563156700245,50,-4.2398,0.607697192317868,50,"All"
"70",443.7,445.6,"Hirnantian",2.00776470588235,2.19892409219691,170,-3.88817647058824,1.21380455887074,170,"All"
"71",445.6,455.8,"Katian 1?",0.0508724832214765,0.75489746295477,149,-5.06574324324324,0.761674749104513,148,"All"
"72",455.8,460.9,"Sandbian II?",-0.685833333333333,0.459039676109184,12,-5.20666666666667,0.744242547626088,12,"All"
"73",460.9,468.1,"Darriwilian?",-0.539411764705882,0.783898343658622,34,-7.02235294117647,1.03282800593302,34,"All"
"74",468.1,471.8,"Dapingian?",-1.34589285714286,0.87299646315167,56,-7.02821428571429,0.943080266790897,56,"All"
"75",471.8,478.6,"Floian",-1.15641025641026,0.651841469181479,39,-8.81589743589744,1.1780285001215,39,"All"
"76",478.6,488.3,"Tremadocian",-1.42,0.674787003431453,17,-9.54705882352941,0.833199891276715,17,"All"
"77",496,499,"Paibian?",-0.487234042553191,0.850947559125196,47,-7.98574468085106,1.03374949593774,47,"All"
"78",0.011,2.59,"Pleistocene-Recent",2.01545454545455,0.286159523216112,11,-0.934615384615385,0.458941088895866,13,"Tropical"
"79",2.59,5.33,"Zanclean-Placenzian",2.329375,0.260242675209121,16,-1.28285714285714,0.429350007070489,21,"Tropical"
"80",5.33,7.25,"Messinian",2.795,0.185562208796224,4,-0.922962962962963,0.446463150471956,27,"Tropical"
"81",7.25,11.61,"Tortonian",NA,NA,0,-0.701428571428571,0.539068602297698,35,"Tropical"
"82",11.61,13.65,"Serravallian",2.215,0.278549816011427,6,-0.763823529411765,0.599272360328618,34,"Tropical"
"83",13.65,15.97,"Langian",2.574,0.214196171767845,5,-1.10631578947368,0.702172901517661,19,"Tropical"
"84",15.97,20.43,"Burdigalian",2.61538461538462,0.242920267598767,13,-0.73,0.52066973188094,34,"Tropical"
"85",20.43,23.03,"Aquitanian",1.79909090909091,0.838038836158021,11,-0.6975,0.434679252589284,20,"Tropical"
"86",23.03,28.4,"Chattian",0.740285714285714,0.278615122623704,35,-0.423421052631579,0.443757154891931,38,"Tropical"
"87",28.4,33.9,"Rupelian",1.0750936329588,0.268062336056261,267,-2.28081784386617,0.717776989215712,269,"Tropical"
"88",33.9,37.2,"Priabonian",0.918039215686275,0.47760342141768,102,-2.57970873786408,0.905561743448458,103,"Tropical"
"89",37.2,40.4,"Bartonian",2.2237037037037,0.735454585473126,27,-1.12448275862069,1.11738082204673,29,"Tropical"
"90",40.4,48.6,"Lutetian",1.77058823529412,1.31570310095399,85,-1.86423913043478,0.996012085296347,92,"Tropical"
"91",48.6,55.8,"Ypresian",2.56052631578947,0.348241194898825,19,-1.70153846153846,0.336151064941848,26,"Tropical"
"92",55.8,61.7,"Selandian-Thanetian",2.96619047619048,1.26978335537416,63,-0.97044776119403,0.556891896467324,67,"Tropical"
"93",61.7,65.5,"Danian",1.62766666666667,0.466148439679993,30,-0.618064516129032,0.363578687996961,31,"Tropical"
"94",65.5,72.1,"Maastrichtian",2.24678260869565,0.489384769201564,115,-1.47689655172414,0.960434153452719,116,"Tropical"
"95",72.1,83.6,"Campanian",2.3503125,0.298968236739202,96,-1.48237113402062,0.885149202578154,97,"Tropical"
"96",83.5,85.8,"Santonian",1.60666666666667,0.275952894530933,9,-3.99555555555556,0.182832649649284,9,"Tropical"
"97",85.8,88.6,"Coniacian?",1.49532110091743,0.332074201902447,109,-4.02321100917431,0.394646772992294,109,"Tropical"
"98",88.6,93.6,"Turonian?",1.27967741935484,0.405345787544041,434,-4.343133640553,0.386255603033713,434,"Tropical"
"99",93.6,99.6,"Cenomanian",2.36425,0.939737790761133,40,-2.4695,0.465463375407941,40,"Tropical"
"100",99.6,112,"Albian",2.04388888888889,0.446376824186224,72,-2.53416666666667,0.526208200641662,72,"Tropical"
"101",112,125,"Aptian",3.24444444444444,0.687315631844481,9,-0.153333333333333,0.77244740921308,9,"Tropical"
"102",125,130,"Barremian",0.0133333333333333,1.33185084249951,6,0.085,0.341159786610321,6,"Tropical"
"103",130,133.9,"Hauterivian?",0.043125,0.442518831990986,16,-0.2875,0.273946466789894,16,"Tropical"
"104",133.9,140.2,"Valanginian?",-0.0626605504587156,1.04781487109006,109,-0.125871559633028,0.331512278441885,109,"Tropical"
"105",140.2,145.5,"Berriasian",-1.0747619047619,0.812684557793607,21,-0.16952380952381,0.233376866687257,21,"Tropical"
"106",150.8,155.6,"Kimmeridgian?",1.36,NA,1,-2.11,NA,1,"Tropical"
"107",155.6,161.2,"Oxfordian?",2.8,0.565685424949238,2,-1.615,1.1667261889578,2,"Tropical"
"108",164.7,167.7,"Bathonian",0.739268292682927,0.769211902676702,41,-1.22268292682927,0.583339628305175,41,"Tropical"
"109",167.7,171.6,"Bajocian",1.15636363636364,0.876952367318462,11,-2.38363636363636,0.973635175281509,11,"Tropical"
"110",171.6,175.7,"Aalenian?",0.04,NA,1,-1.58,NA,1,"Tropical"
"111",175.7,183,"Toarcian?",0.863698630136986,0.967559224212765,73,-2.50493150684931,0.705191312276462,73,"Tropical"
"112",183,189.6,"Pliensbachian",1.28792207792208,0.711664723067529,77,-1.05943231441048,0.808803063556182,229,"Tropical"
"113",189.6,196.5,"Sinemurian",0.430588235294118,0.650244863380666,17,-1.39218181818182,0.533901402012307,55,"Tropical"
"114",199.6,216.5,"Norian-Rhaetian",1.64161290322581,0.521964856889769,31,-1.73903225806452,0.600140843684268,31,"Tropical"
"115",216.5,228.7,"Carnian",3.48,NA,1,-2,NA,1,"Tropical"
"116",228.7,237,"Ladinian",3.03538461538462,0.68350815709084,39,-2.52974358974359,1.05741115635133,39,"Tropical"
"117",237,245.9,"Anisian",0.741794871794872,0.643051409072285,39,-4.01923076923077,1.63297820370181,39,"Tropical"
"118",245.9,251,"Induan-Olenekian?",0.583333333333333,0.361155552820849,3,-6.4,2.01285866369201,3,"Tropical"
"119",251,260.4,"Wuchiapingian-Changhsingian",3.59821428571429,0.966218492165812,28,-2.97857142857143,0.440435090317596,28,"Tropical"
"120",260.4,268,"Wordian/Kazanian-Capitanian",4.66837837837838,1.32069113538142,37,-2.28972972972973,1.88321457809437,37,"Tropical"
"121",270.6,275.6,"Kungurian?",5.03079207920792,1.19946711765543,101,-1.1879797979798,1.53284115275775,99,"Tropical"
"122",284.4,294.6,"Sakmarian",4.28221153846154,1.20611142534635,104,-2.28,0.999272550942915,104,"Tropical"
"123",294.6,299,"Asselian?",4.76582677165354,0.871900351945126,127,-2.22165354330709,0.866372444361232,127,"Tropical"
"124",299,303.4,"Gzhelian?",4.29184210526316,1.0787247188678,114,-2.2090350877193,0.979673929227227,114,"Tropical"
"125",303.4,307.2,"Kasimovian?",4.02423868312757,1.11797356101076,486,-2.42711934156379,0.807890427241997,486,"Tropical"
"126",307.2,311.7,"Moscovian?",5.0834,1.33803363186431,150,-3.15235294117647,0.757584253353244,153,"Tropical"
"127",311.7,318.1,"Bashkirian",4.89266129032258,1.14638428329834,124,-2.47274193548387,1.77968771295008,124,"Tropical"
"128",318.1,328.3,"Serpukhovian?",3.05748148148148,1.86008705156074,405,-2.43948402948403,1.45818295023976,407,"Tropical"
"129",328.3,345.3,"Viséan?",2.63814207650273,1.50105327094834,366,-4.02369863013699,2.38172270442947,365,"Tropical"
"130",345.3,359.2,"Tournaisian?",2.77743315508021,1.75419400343592,187,-3.69379679144385,2.07091378235989,187,"Tropical"
"131",359.2,374.5,"Famennian",0.709491525423729,0.900031462532079,59,-6.42694915254237,1.31663659039352,59,"Tropical"
"132",374.5,385.3,"Frasnian",0.734123456790123,1.1784210927548,405,-5.39355555555556,1.30502539712019,405,"Tropical"
"133",385.3,391.8,"Givetian",1.71314814814815,0.873703511893262,54,-3.78574074074074,1.5196792137318,54,"Tropical"
"134",391.8,397.5,"Eifelian",0.584247311827957,0.823226823767978,186,-5.36768817204301,1.57058554395689,186,"Tropical"
"135",397.5,407,"Emsian",-0.035,1.16660920064391,38,-5.20763157894737,2.06278666700423,38,"Tropical"
"136",407,411.2,"Pragian",1.59794117647059,0.410075967919653,34,-4.25558823529412,0.98693953385897,34,"Tropical"
"137",411.2,416,"Lochkovian",1.71703703703704,1.00739502150087,27,-6.79185185185185,1.78830180948948,27,"Tropical"
"138",416,418.7,"Pridoli",2.405,0.983830382851751,28,-4.07607142857143,0.779502877127298,28,"Tropical"
"139",418.7,422.9,"Gorstian-Ludfordian",0.371333333333333,1.56172922138236,30,-5.50560975609756,1.01199320348629,41,"Tropical"
"140",422.9,428.2,"Sheinwoodian/Tonawandan-Homerian/Lockportian",2.32005167958656,2.522203884018,387,-4.8249354005168,1.18720889356338,387,"Tropical"
"141",428.2,436,"Telychian/Ontarian",1.69405701754386,1.88176278971125,456,-4.72899122807018,0.675561363583531,456,"Tropical"
"142",436,439,"Aeronian?",1.1756,0.667420906674841,25,-4.898,0.542878132426299,25,"Tropical"
"143",439,443.7,"Rhuddanian?",1.1242,1.09563156700245,50,-4.2398,0.607697192317868,50,"Tropical"
"144",443.7,445.6,"Hirnantian",2.00776470588235,2.19892409219691,170,-3.88817647058824,1.21380455887074,170,"Tropical"
"145",445.6,455.8,"Katian 1?",0.0508724832214765,0.75489746295477,149,-5.06574324324324,0.761674749104513,148,"Tropical"
"146",455.8,460.9,"Sandbian II?",-0.685833333333333,0.459039676109184,12,-5.20666666666667,0.744242547626088,12,"Tropical"
"147",460.9,468.1,"Darriwilian?",-0.539411764705882,0.783898343658622,34,-7.02235294117647,1.03282800593302,34,"Tropical"
"148",468.1,471.8,"Dapingian?",-1.34589285714286,0.87299646315167,56,-7.02821428571429,0.943080266790897,56,"Tropical"
"149",471.8,478.6,"Floian",-1.15641025641026,0.651841469181479,39,-8.81589743589744,1.1780285001215,39,"Tropical"
"150",478.6,488.3,"Tremadocian",-1.42,0.674787003431453,17,-9.54705882352941,0.833199891276715,17,"Tropical"
"151",496,499,"Paibian?",-0.487234042553191,0.850947559125196,47,-7.98574468085106,1.03374949593774,47,"Tropical"
